epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38509,2.68387,8.13421,3.64368,2.3451,0.02907,0.21268,0.03318,0.01021,0.01123,0.00293,0.00116,0.00016,2.31981,6.36547,3.7285,2.26939,0.00012,0.00012,0.00012
2,10.1016,2.31043,6.22618,3.22091,2.03224,0.13684,0.30634,0.10412,0.04516,0.00447,0.01171,0.00197,0.00037,1.81685,5.3974,2.18343,1.6919,0.000249704,0.000249704,0.000249704
3,13.537,1.77226,5.01804,1.93735,1.51507,0.50068,0.54,0.51398,0.25521,0.02836,0.0322,0.00527,0.00077,1.57461,5.78833,5.17162,1.51966,0.00036832,0.00036832,0.00036832
4,17.816,1.61571,4.53545,1.29921,1.36335,0.67328,0.63707,0.63865,0.33412,0.21513,0.18244,0.06557,0.00996,1.5993,5.21022,1.39667,1.47621,0.000475848,0.000475848,0.000475848
5,22.0155,1.53909,4.20335,1.10269,1.28633,0.80961,0.70114,0.75272,0.4074,0.35836,0.29756,0.1773,0.02768,1.62968,4.78825,1.07369,1.41298,0.000572288,0.000572288,0.000572288
6,25.8277,1.46282,3.96935,0.9206,1.22802,0.84703,0.7347,0.78327,0.43488,0.45058,0.37659,0.24561,0.04201,1.5462,4.63931,0.98635,1.34419,0.00065764,0.00065764,0.00065764
7,29.8297,1.43453,3.81541,0.85194,1.1948,0.88219,0.75512,0.81576,0.4613,0.48156,0.41171,0.26672,0.04707,1.51958,4.4473,0.91349,1.30349,0.000731904,0.000731904,0.000731904
8,33.2992,1.38887,3.64111,0.77517,1.15942,0.86918,0.79707,0.82646,0.46453,0.42772,0.36,0.20591,0.03589,1.49433,4.73375,0.91334,1.28017,0.00079508,0.00079508,0.00079508
9,37.5219,1.37887,3.64054,0.74819,1.15345,0.88308,0.7958,0.81042,0.44349,0.4423,0.39805,0.21543,0.03581,1.52398,4.3467,0.90879,1.28219,0.000847168,0.000847168,0.000847168
10,40.8751,1.3614,3.53247,0.72427,1.1436,0.88923,0.79317,0.83399,0.46536,0.46092,0.39902,0.22683,0.04127,1.50437,4.20231,0.85211,1.26765,0.000888168,0.000888168,0.000888168
11,44.5648,1.3777,3.57869,0.71957,1.14706,0.89931,0.79024,0.84712,0.48902,0.46133,0.39902,0.23923,0.04339,1.47606,4.20799,0.82803,1.24885,0.00091808,0.00091808,0.00091808
12,48.4465,1.34824,3.4987,0.70374,1.15518,0.88841,0.80001,0.85375,0.49495,0.49175,0.45268,0.27189,0.04713,1.50795,4.05938,0.77289,1.25491,0.000936904,0.000936904,0.000936904
13,53.0916,1.30733,3.43661,0.68348,1.12791,0.89366,0.80098,0.85577,0.50828,0.53576,0.46732,0.30071,0.05669,1.47551,3.93911,0.74984,1.23908,0.00094464,0.00094464,0.00094464
14,56.7966,1.33943,3.43289,0.70231,1.14698,0.90089,0.807,0.86815,0.51546,0.53027,0.44878,0.29241,0.05252,1.45499,3.96622,0.74,1.23267,0.000941288,0.000941288,0.000941288
15,60.2608,1.32931,3.39705,0.66292,1.1284,0.92792,0.79121,0.87483,0.51189,0.51201,0.43415,0.27204,0.04817,1.47294,4.04622,0.70864,1.24118,0.0008912,0.0008912,0.0008912
16,66.2087,1.31734,3.37402,0.71582,1.15391,0.92308,0.78634,0.87129,0.50699,0.56633,0.48031,0.33526,0.06267,1.48915,3.85861,0.69753,1.25235,0.000812,0.000812,0.000812
17,68.8147,1.30396,3.36533,0.65867,1.1625,0.9234,0.78795,0.87257,0.51248,0.6131,0.51792,0.37977,0.07236,1.46947,3.76061,0.69614,1.24971,0.0007328,0.0007328,0.0007328
18,71.4156,1.31848,3.42101,0.66972,1.13869,0.89284,0.80098,0.86739,0.50911,0.63949,0.5561,0.44082,0.085,1.46777,3.71725,0.70707,1.25165,0.0006536,0.0006536,0.0006536
19,74.0736,1.28546,3.31393,0.6496,1.12791,0.88564,0.81366,0.87231,0.52032,0.58381,0.51122,0.37517,0.07465,1.43934,3.74069,0.69913,1.23264,0.0005744,0.0005744,0.0005744
20,76.3815,1.28373,3.31942,0.62272,1.14616,0.90783,0.8168,0.88137,0.5311,0.57283,0.51415,0.36917,0.06981,1.43124,3.74256,0.67447,1.22071,0.0004952,0.0004952,0.0004952
21,78.8476,1.2428,3.25283,0.58225,1.1134,0.90273,0.81659,0.88466,0.53148,0.57887,0.51024,0.3739,0.06973,1.43764,3.75592,0.66192,1.21886,0.000416,0.000416,0.000416
22,81.8925,1.25174,3.23801,0.58765,1.11675,0.90497,0.81659,0.88709,0.53646,0.58767,0.5161,0.38253,0.07505,1.42421,3.71921,0.64951,1.21091,0.0003368,0.0003368,0.0003368
23,84.3432,1.2511,3.24469,0.5848,1.09155,0.90589,0.81659,0.88854,0.53623,0.60669,0.5239,0.40156,0.07942,1.41527,3.70398,0.64114,1.20586,0.0002576,0.0002576,0.0002576
24,86.7819,1.27022,3.27942,0.60002,1.12525,0.90478,0.81582,0.88842,0.53703,0.63558,0.54927,0.43693,0.08606,1.41364,3.66579,0.63794,1.20656,0.0001784,0.0001784,0.0001784
25,89.2678,1.25986,3.23541,0.60793,1.11337,0.9259,0.79902,0.88639,0.53557,0.63556,0.54829,0.43511,0.08507,1.41448,3.66106,0.63618,1.20723,9.92e-05,9.92e-05,9.92e-05
