epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57452,2.6557,8.25793,3.57323,2.35719,0.01947,0.14585,0.01598,0.00483,0.00093,0.00699,0.00051,8e-05,2.40104,6.6563,4.03652,2.30392,0.00012,0.00012,0.00012
2,8.91427,2.42785,6.67876,3.26233,2.17397,0.24297,0.28571,0.16643,0.07328,0.01086,0.01199,0.00243,0.00041,1.82309,5.2619,2.10436,1.68564,0.000249704,0.000249704,0.000249704
3,12.6581,1.8462,5.15619,2.02737,1.58162,0.60206,0.56543,0.60276,0.32482,0.08193,0.07093,0.01574,0.00232,1.44708,5.2888,3.73331,1.41473,0.00036832,0.00036832,0.00036832
4,16.9343,1.66271,4.61243,1.38132,1.3959,0.74178,0.68831,0.70934,0.39839,0.29737,0.25175,0.11231,0.01734,1.41414,4.66377,1.20779,1.31205,0.000475848,0.000475848,0.000475848
5,21.2993,1.58683,4.39502,1.12124,1.32456,0.88364,0.74348,0.83047,0.50938,0.4937,0.37862,0.25842,0.04168,1.36648,4.34438,0.90686,1.2068,0.000572288,0.000572288,0.000572288
6,25.1484,1.48674,4.03037,0.93791,1.25356,0.91126,0.77922,0.85802,0.52466,0.55552,0.40959,0.30402,0.04878,1.35305,4.17643,0.829,1.17968,0.00065764,0.00065764,0.00065764
7,29.042,1.47792,3.85375,0.87051,1.24263,0.92665,0.82029,0.8831,0.53297,0.55792,0.48161,0.34556,0.06257,1.33302,4.15024,0.74024,1.15822,0.000731904,0.000731904,0.000731904
8,33.011,1.42631,3.80719,0.80747,1.18192,0.93571,0.82884,0.88825,0.53631,0.60999,0.52148,0.39898,0.07457,1.31534,3.85797,0.74032,1.14549,0.00079508,0.00079508,0.00079508
9,36.6747,1.43484,3.73097,0.80874,1.20016,0.94017,0.84771,0.90461,0.5279,0.47655,0.41836,0.24945,0.04121,1.36355,3.9628,0.7173,1.16432,0.000847168,0.000847168,0.000847168
10,40.4999,1.44155,3.69976,0.76777,1.18792,0.94565,0.85166,0.9122,0.56773,0.62373,0.54647,0.4177,0.07809,1.28168,3.66029,0.69744,1.12374,0.000888168,0.000888168,0.000888168
11,44.2074,1.42422,3.61413,0.76902,1.19385,0.95603,0.85415,0.91708,0.57057,0.66598,0.58242,0.46014,0.0873,1.28648,3.59005,0.69983,1.11737,0.00091808,0.00091808,0.00091808
12,48.298,1.38759,3.53991,0.74839,1.19203,0.93107,0.86363,0.91953,0.5552,0.60616,0.5197,0.37573,0.0646,1.38705,3.66006,0.65907,1.14814,0.000936904,0.000936904,0.000936904
13,52.038,1.42491,3.5601,0.74864,1.17468,0.93278,0.85952,0.92083,0.56085,0.59105,0.50549,0.35393,0.06201,1.3664,3.64519,0.64673,1.13866,0.00094464,0.00094464,0.00094464
14,55.8357,1.37155,3.48447,0.72235,1.15697,0.94917,0.85415,0.92386,0.59782,0.65111,0.55145,0.41996,0.07785,1.23835,3.4761,0.60435,1.09461,0.000941288,0.000941288,0.000941288
15,59.4218,1.38238,3.45723,0.68931,1.15324,0.95117,0.85415,0.92636,0.59203,0.50524,0.43756,0.27043,0.04459,1.23942,3.68884,0.59862,1.09811,0.0008912,0.0008912,0.0008912
16,65.3129,1.37768,3.49039,0.79947,1.18565,0.9528,0.86114,0.93026,0.58738,0.54733,0.46154,0.29883,0.04792,1.2679,3.66933,0.5862,1.11132,0.000812,0.000812,0.000812
17,67.8036,1.38834,3.50735,0.70503,1.20371,0.9517,0.86617,0.93096,0.5916,0.58737,0.48851,0.33657,0.05733,1.27887,3.60091,0.5758,1.11541,0.0007328,0.0007328,0.0007328
18,70.1325,1.37232,3.4634,0.70011,1.16958,0.94036,0.86626,0.93148,0.59966,0.71143,0.5964,0.5125,0.09879,1.28126,3.45957,0.57287,1.11636,0.0006536,0.0006536,0.0006536
19,72.639,1.33064,3.3943,0.66777,1.16181,0.93237,0.87612,0.93465,0.61224,0.69495,0.57581,0.49398,0.09351,1.24474,3.41227,0.57266,1.10211,0.0005744,0.0005744,0.0005744
20,75.2463,1.3036,3.35006,0.63851,1.15813,0.95014,0.86813,0.93515,0.60736,0.68246,0.55644,0.46397,0.08609,1.24895,3.42041,0.55919,1.10381,0.0004952,0.0004952,0.0004952
21,77.5916,1.31455,3.36607,0.63249,1.14616,0.95165,0.86516,0.93699,0.60135,0.6859,0.55844,0.45872,0.08579,1.26005,3.41761,0.55431,1.108,0.000416,0.000416,0.000416
22,79.9604,1.325,3.34686,0.64564,1.15818,0.94772,0.87413,0.93505,0.6039,0.71654,0.5884,0.50419,0.10125,1.24807,3.40713,0.5518,1.1032,0.0003368,0.0003368,0.0003368
23,82.4456,1.29578,3.34007,0.6118,1.12013,0.94847,0.87512,0.93645,0.60582,0.71921,0.60739,0.5272,0.10239,1.23473,3.41333,0.54651,1.09578,0.0002576,0.0002576,0.0002576
24,85.3964,1.28633,3.28068,0.61261,1.13664,0.95211,0.86913,0.93675,0.61039,0.74232,0.61938,0.54815,0.10703,1.22639,3.40759,0.53798,1.0936,0.0001784,0.0001784,0.0001784
25,88.1081,1.3212,3.35236,0.6361,1.14872,0.95645,0.86314,0.93475,0.61219,0.74102,0.61838,0.54312,0.10816,1.22507,3.40139,0.536,1.09379,9.92e-05,9.92e-05,9.92e-05
