epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2729,1.25954,2.44079,2.82711,1.4471,0.14219,0.4535,0.19181,0.14384,0.14175,0.45213,0.18999,0.14183,0.86339,1.53765,1.80023,1.25297,0.000366703,0.000366703,0.000366703
2,89.9124,0.91234,1.58418,1.65574,1.16792,0.197,0.47675,0.22688,0.18179,0.19559,0.47362,0.22606,0.17992,0.75911,1.30169,1.61727,1.16247,0.000700553,0.000700553,0.000700553
3,134.58,0.85912,1.46145,1.46894,1.13526,0.31755,0.52527,0.33214,0.27125,0.31755,0.52527,0.33218,0.26971,0.74806,1.32855,1.44525,1.15415,0.00099774,0.00099774,0.00099774
4,178.874,0.80141,1.37741,1.36453,1.1031,0.25287,0.52713,0.29443,0.24447,0.25259,0.52622,0.29434,0.23868,0.70003,1.2751,1.52994,1.11434,0.000946016,0.000946016,0.000946016
5,222.963,0.79307,1.35657,1.29808,1.08658,0.36633,0.55198,0.37366,0.31871,0.36668,0.5529,0.37391,0.31162,0.68457,1.27135,1.35875,1.10217,0.000891022,0.000891022,0.000891022
6,267.413,0.76213,1.29715,1.23365,1.07897,0.40289,0.54843,0.41532,0.34461,0.40289,0.54843,0.41501,0.34462,0.7132,1.24557,1.31731,1.14059,0.000836027,0.000836027,0.000836027
7,311.763,0.73311,1.24559,1.16436,1.05019,0.50055,0.50641,0.46095,0.39089,0.50055,0.50641,0.46166,0.38816,0.67388,1.18291,1.28955,1.1049,0.000781033,0.000781033,0.000781033
8,356.125,0.7241,1.23944,1.12914,1.04977,0.4243,0.57946,0.49902,0.42164,0.42397,0.579,0.49859,0.41866,0.67361,1.17863,1.22608,1.11028,0.000726038,0.000726038,0.000726038
9,400.361,0.70982,1.2022,1.06231,1.0404,0.42838,0.62767,0.48244,0.40874,0.42886,0.62859,0.48289,0.40772,0.67302,1.16823,1.19962,1.10671,0.000671044,0.000671044,0.000671044
10,444.501,0.69362,1.18295,1.02087,1.03028,0.50241,0.53586,0.50042,0.42325,0.50294,0.53678,0.50062,0.42239,0.64768,1.14069,1.21892,1.08516,0.000616049,0.000616049,0.000616049
11,489.41,0.61045,1.08716,0.94694,1.01888,0.40325,0.61131,0.47996,0.41328,0.3997,0.61138,0.47991,0.40677,0.64194,1.15673,1.36199,1.0825,0.000561055,0.000561055,0.000561055
12,533.336,0.61086,1.06948,0.87965,1.01586,0.46381,0.6122,0.53114,0.45578,0.46851,0.60288,0.52968,0.44862,0.63737,1.14788,1.16775,1.08106,0.00050606,0.00050606,0.00050606
13,577.34,0.59539,1.03995,0.82349,1.00747,0.49124,0.57514,0.52699,0.45401,0.49401,0.57257,0.52718,0.4488,0.64121,1.12995,1.18517,1.08098,0.000451066,0.000451066,0.000451066
14,621.08,0.57243,1.01666,0.76833,0.99409,0.48099,0.58826,0.56236,0.4806,0.48075,0.58781,0.56206,0.4777,0.63898,1.1431,1.17851,1.08177,0.000396071,0.000396071,0.000396071
15,665.096,0.55847,1.00222,0.72701,0.98265,0.49485,0.61441,0.54271,0.46731,0.50241,0.61019,0.54202,0.46161,0.6347,1.12687,1.15228,1.07743,0.000341077,0.000341077,0.000341077
16,708.86,0.54287,0.97239,0.68543,0.96243,0.47063,0.60933,0.53133,0.45634,0.47748,0.60147,0.53097,0.45429,0.62014,1.09481,1.14788,1.06809,0.000286083,0.000286083,0.000286083
17,752.589,0.53294,0.95527,0.66029,0.96486,0.56956,0.57149,0.56652,0.48497,0.56956,0.57149,0.56599,0.4804,0.62714,1.10742,1.2052,1.07041,0.000231088,0.000231088,0.000231088
18,796.496,0.5226,0.94835,0.6176,0.95629,0.61146,0.55536,0.59057,0.51137,0.61146,0.55536,0.58998,0.50309,0.60793,1.09849,1.08787,1.05975,0.000176094,0.000176094,0.000176094
19,840.387,0.51339,0.93181,0.58499,0.94838,0.58057,0.57792,0.58219,0.50336,0.58057,0.57792,0.58151,0.49718,0.6043,1.0913,1.15586,1.06115,0.000121099,0.000121099,0.000121099
20,884.11,0.50494,0.92337,0.56462,0.94881,0.56812,0.57458,0.57461,0.49556,0.57355,0.56745,0.57425,0.49147,0.60401,1.08966,1.2087,1.06026,6.61045e-05,6.61045e-05,6.61045e-05
