epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77679,2.21671,6.80896,3.70783,1.99254,0.58458,0.45055,0.49808,0.2513,0.00925,0.01099,0.00247,0.00034,1.85962,5.33383,1.67107,1.81549,0.00012,0.00012,0.00012
2,8.87939,1.75229,4.62728,1.58602,1.58669,0.44574,0.44026,0.40847,0.23474,0.24143,0.23846,0.14265,0.02295,1.67778,4.18722,3.39953,1.45522,0.00024713,0.00024713,0.00024713
3,12.808,1.56234,3.98706,1.24256,1.34348,0.41592,0.8252,0.39218,0.23227,0.21489,0.42158,0.11768,0.01939,1.39469,4.41397,5.13297,1.35053,0.0003604,0.0003604,0.0003604
4,16.9375,1.51242,3.81128,0.9681,1.3046,0.84216,0.88112,0.88837,0.52414,0.3866,0.35165,0.19028,0.02799,1.364,4.76597,2.21011,1.3475,0.00045981,0.00045981,0.00045981
5,20.8901,1.48353,4.02451,0.91925,1.29919,0.80865,0.86913,0.87497,0.51539,0.39156,0.42058,0.23128,0.03901,1.41332,4.25796,2.2809,1.37093,0.00054536,0.00054536,0.00054536
6,25.3604,1.48008,3.71249,0.84235,1.29149,0.85325,0.86214,0.87343,0.51419,0.3009,0.3017,0.14711,0.02059,1.37614,4.32822,2.0549,1.28238,0.00061705,0.00061705,0.00061705
7,29.1269,1.46618,3.61895,0.81157,1.29994,0.8299,0.83834,0.82748,0.48225,0.45843,0.44955,0.27566,0.04911,1.35078,4.20815,1.58409,1.29065,0.00067488,0.00067488,0.00067488
8,32.7453,1.41177,3.52801,0.788,1.22936,0.66778,0.86144,0.63011,0.35742,0.32198,0.3976,0.16062,0.02527,1.38829,4.09199,2.63779,1.34818,0.00071885,0.00071885,0.00071885
9,36.6082,1.42772,3.54913,0.78383,1.24992,0.75544,0.74063,0.71039,0.4429,0.33762,0.32068,0.1493,0.02696,1.33659,4.45471,1.16756,1.26198,0.00074896,0.00074896,0.00074896
10,40.2404,1.39721,3.52114,0.74939,1.22548,0.90498,0.72128,0.83919,0.52177,0.44602,0.34166,0.22433,0.03665,1.36704,4.47532,0.96935,1.27841,0.00076521,0.00076521,0.00076521
11,46.3523,1.41808,3.5276,0.89065,1.35003,0.79171,0.6034,0.73382,0.44563,0.31981,0.24076,0.13809,0.02288,1.4198,4.83311,1.11506,1.32614,0.0007676,0.0007676,0.0007676
12,48.7848,1.37438,3.46479,0.81708,1.22059,0.92277,0.84815,0.90602,0.57314,0.30369,0.24476,0.12135,0.01795,1.31585,4.40545,0.96952,1.24084,0.00075613,0.00075613,0.00075613
13,51.3421,1.35841,3.42383,0.73546,1.24946,0.92951,0.82986,0.90278,0.56607,0.34827,0.29371,0.15313,0.02334,1.32887,4.58357,0.81472,1.23057,0.0007308,0.0007308,0.0007308
14,54.4588,1.33877,3.39947,0.77819,1.2575,0.9108,0.85689,0.91496,0.57314,0.47603,0.42557,0.26092,0.04677,1.30757,4.31733,0.87606,1.21375,0.00069161,0.00069161,0.00069161
15,56.942,1.30043,3.31445,0.66731,1.19491,0.9365,0.85215,0.91898,0.5803,0.38782,0.32468,0.18366,0.03026,1.34151,4.18774,0.76308,1.23511,0.000614,0.000614,0.000614
16,59.3517,1.3048,3.27325,0.68828,1.20378,0.95277,0.87413,0.92481,0.60142,0.60118,0.5025,0.39409,0.06988,1.26313,3.57224,0.67145,1.19069,0.000515,0.000515,0.000515
17,61.8585,1.28592,3.20808,0.6483,1.17432,0.93802,0.87693,0.92306,0.60249,0.59917,0.49151,0.38331,0.06651,1.26233,3.61635,0.67575,1.19237,0.000416,0.000416,0.000416
18,64.6606,1.29709,3.22331,0.63827,1.23775,0.94619,0.84323,0.90008,0.59111,0.65981,0.57934,0.4783,0.08842,1.26764,3.52974,0.64755,1.20441,0.000317,0.000317,0.000317
19,67.1011,1.27647,3.1757,0.65118,1.23118,0.95895,0.85115,0.91708,0.60622,0.70133,0.60289,0.52197,0.10186,1.24551,3.48165,0.61212,1.18517,0.000218,0.000218,0.000218
20,69.6958,1.24416,3.10942,0.60757,1.17936,0.96237,0.86865,0.92986,0.62039,0.71493,0.63736,0.54523,0.10924,1.217,3.37038,0.57517,1.16725,0.000119,0.000119,0.000119
