epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75596,2.31773,3.63722,1.89244,0.57073,0.54683,0.55734,0.30619,1.54174,1.7162,1.36393,0.00012,0.00012,0.00012
2,4.94412,1.71754,1.39695,1.44579,0.84086,0.71065,0.7815,0.47571,1.44974,1.82322,1.20717,0.00024713,0.00024713,0.00024713
3,7.96084,1.56478,1.08308,1.22424,0.7312,0.78463,0.76382,0.43501,1.40854,1.74507,1.20778,0.0003604,0.0003604,0.0003604
4,10.655,1.49059,0.87836,1.20018,0.72164,0.82257,0.82269,0.50137,1.35136,2.81558,1.18578,0.00045981,0.00045981,0.00045981
5,13.4716,1.42664,0.80773,1.17719,0.89984,0.82985,0.87353,0.54459,1.34641,1.2435,1.18849,0.00054536,0.00054536,0.00054536
6,16.077,1.39118,0.73874,1.16616,0.89677,0.84895,0.89112,0.53165,1.43854,1.24525,1.22059,0.00061705,0.00061705,0.00061705
7,19.0979,1.39203,0.74435,1.16446,0.9324,0.82838,0.87612,0.52158,1.38476,1.07389,1.2183,0.00067488,0.00067488,0.00067488
8,21.8834,1.40743,0.77482,1.15318,0.9369,0.81893,0.87803,0.53681,1.38993,0.94181,1.22263,0.00071885,0.00071885,0.00071885
9,24.4695,1.37432,0.73543,1.15294,0.90202,0.82932,0.86906,0.52282,1.36147,0.95575,1.19884,0.00074896,0.00074896,0.00074896
10,27.0704,1.36007,0.70923,1.13824,0.89382,0.84349,0.87771,0.54677,1.32516,0.86995,1.18207,0.00076521,0.00076521,0.00076521
11,32.1844,1.46747,0.85283,1.30613,0.91059,0.81711,0.87121,0.54774,1.32328,0.80271,1.16096,0.0007676,0.0007676,0.0007676
12,33.6638,1.37503,0.76403,1.14153,0.91672,0.78162,0.85397,0.55057,1.28121,0.77759,1.13507,0.00075613,0.00075613,0.00075613
13,35.0964,1.3531,0.70943,1.17475,0.92664,0.78162,0.87653,0.56868,1.28021,0.73984,1.12567,0.0007308,0.0007308,0.0007308
14,36.4315,1.33505,0.73211,1.18321,0.9427,0.83824,0.89887,0.5815,1.27604,0.69674,1.13384,0.00069161,0.00069161,0.00069161
15,37.813,1.29468,0.65678,1.13058,0.93535,0.84257,0.90396,0.58558,1.26202,0.65936,1.12664,0.000614,0.000614,0.000614
16,39.2094,1.32057,0.68839,1.12963,0.93511,0.85077,0.90147,0.56841,1.31524,0.63584,1.14672,0.000515,0.000515,0.000515
17,40.4987,1.27263,0.61733,1.10385,0.95356,0.8353,0.89994,0.56702,1.3095,0.62936,1.14239,0.000416,0.000416,0.000416
18,41.8075,1.30741,0.63333,1.14357,0.95068,0.84804,0.90578,0.59065,1.25391,0.58845,1.12048,0.000317,0.000317,0.000317
19,43.1743,1.315,0.64477,1.16933,0.9531,0.85053,0.90892,0.59986,1.24121,0.56879,1.11409,0.000218,0.000218,0.000218
20,44.5922,1.25028,0.58583,1.11123,0.95612,0.85077,0.91261,0.60164,1.2358,0.55135,1.10725,0.000119,0.000119,0.000119
