epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18017,4.02666,7.07285,3.62149,0.00413,0.03097,0.00242,0.00117,2.88463,6.83837,2.76832,0.00012,0.00012,0.00012
2,6.2401,3.2544,6.16628,2.77938,0.00653,0.04895,0.00726,0.00368,2.67356,6.22534,2.34701,0.00024713,0.00024713,0.00024713
3,9.40506,3.0803,5.28784,2.41804,0.01693,0.12687,0.03722,0.0227,2.633,5.94144,2.23088,0.0003604,0.0003604,0.0003604
4,12.1569,3.10091,4.64785,2.34448,0.0488,0.36563,0.18222,0.1243,2.66983,5.72211,2.15332,0.00045981,0.00045981,0.00045981
5,15.0548,3.14409,3.83637,2.36887,0.05053,0.37862,0.25749,0.15116,2.58965,5.49899,2.09677,0.00054536,0.00054536,0.00054536
6,17.9821,3.11543,3.24471,2.33128,0.05973,0.44755,0.28466,0.17848,2.78247,5.33838,2.13249,0.00061705,0.00061705,0.00061705
7,21.0341,3.07434,2.92043,2.35928,0.09507,0.71229,0.53476,0.32669,2.73403,4.71078,2.11282,0.00067488,0.00067488,0.00067488
8,24.104,2.98528,2.78853,2.28753,0.64128,0.53147,0.56306,0.35917,2.74249,4.47167,2.14417,0.00071885,0.00071885,0.00071885
9,27.2977,3.0059,2.67724,2.3307,0.47673,0.72727,0.66025,0.39414,2.85342,4.16046,2.18309,0.00074896,0.00074896,0.00074896
10,30.1128,2.9956,2.46938,2.29887,0.68995,0.58941,0.65366,0.41649,2.70054,3.88816,2.1606,0.00076521,0.00076521,0.00076521
11,34.6811,2.98682,2.76446,2.45343,0.63724,0.52947,0.59633,0.38813,2.69137,3.79924,2.20537,0.0007676,0.0007676,0.0007676
12,36.3467,2.85685,2.48485,2.28568,0.10187,0.76324,0.51732,0.33635,2.60584,3.93531,2.20278,0.00075613,0.00075613,0.00075613
13,37.9026,2.78969,2.36493,2.29227,0.10797,0.7902,0.60134,0.38767,2.61777,3.77583,2.18725,0.0007308,0.0007308,0.0007308
14,39.4627,2.83252,2.45731,2.38667,0.96205,0.40524,0.73307,0.46019,2.69727,3.12604,2.19551,0.00069161,0.00069161,0.00069161
15,41.0558,2.74805,2.15913,2.21786,0.85517,0.60758,0.75566,0.49633,2.62818,2.5714,2.14993,0.000614,0.000614,0.000614
16,42.659,2.7642,2.24294,2.24262,0.81241,0.65035,0.76031,0.48795,2.71754,2.23842,2.18316,0.000515,0.000515,0.000515
17,44.1838,2.76967,2.09001,2.21901,0.80325,0.6607,0.76962,0.50197,2.65167,2.12842,2.15481,0.000416,0.000416,0.000416
18,45.7831,2.75579,2.03055,2.28511,0.79876,0.66334,0.78115,0.52078,2.5446,2.024,2.11034,0.000317,0.000317,0.000317
19,47.4305,2.74603,2.15754,2.3194,0.80557,0.67333,0.79183,0.52489,2.57475,1.98336,2.12595,0.000218,0.000218,0.000218
20,49.0001,2.66998,1.97355,2.21559,0.79727,0.68232,0.80141,0.52711,2.59889,1.90345,2.13653,0.000119,0.000119,0.000119
