epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9656,1.43445,2.02622,1.43186,0.5044,0.78528,0.5266,0.30722,1.43589,2.03688,1.51703,0.00046676,0.00046676,0.00046676
2,26.3682,1.41526,1.28833,1.32297,0.2166,0.45399,0.16798,0.06871,1.79856,4.72009,2.21002,0.000926673,0.000926673,0.000926673
3,37.6749,1.39775,1.14253,1.31094,0.26739,0.03067,0.01733,0.00589,3.44595,6.95866,3.56936,0.00136266,0.00136266,0.00136266
4,48.0949,1.39385,1.11564,1.31823,0.16005,0.26994,0.15633,0.06277,2.45834,2.70773,2.25798,0.00154323,0.00154323,0.00154323
5,59.4034,1.41743,1.1482,1.3359,0.47455,0.89571,0.52691,0.28233,1.47653,2.62354,1.57629,0.00150197,0.00150197,0.00150197
6,70.7779,1.38961,1.04642,1.31353,0.72676,0.83223,0.78861,0.44482,1.46072,1.76457,1.47845,0.00146071,0.00146071,0.00146071
7,82.2885,1.33615,0.971,1.31057,0.7569,0.76405,0.84593,0.49608,1.47361,2.23188,1.46493,0.00141945,0.00141945,0.00141945
8,93.9749,1.32961,0.96875,1.28617,0.76697,0.86827,0.83258,0.47342,1.43281,1.38773,1.48727,0.00137819,0.00137819,0.00137819
9,105.212,1.27411,0.91197,1.2609,0.84625,0.85276,0.91555,0.53628,1.40563,1.25978,1.41175,0.00133693,0.00133693,0.00133693
10,116.522,1.25358,0.91305,1.25432,0.84737,0.91959,0.89868,0.53581,1.40776,0.80573,1.36963,0.00129568,0.00129568,0.00129568
11,127.097,1.24962,0.90287,1.21712,0.85644,0.84177,0.91103,0.5541,1.36923,0.79045,1.37571,0.00125442,0.00125442,0.00125442
12,138.452,1.26697,0.86661,1.23801,0.88431,0.87117,0.93402,0.54623,1.3684,0.79252,1.35501,0.00121316,0.00121316,0.00121316
13,149.853,1.26532,0.87781,1.22529,0.89542,0.893,0.95756,0.56866,1.36687,0.87064,1.36945,0.0011719,0.0011719,0.0011719
14,161.138,1.23612,0.8207,1.21523,0.82652,0.8769,0.89313,0.55027,1.34648,0.92733,1.34354,0.00113064,0.00113064,0.00113064
15,172.688,1.23073,0.8261,1.20122,0.90651,0.88344,0.95723,0.59369,1.36667,0.64724,1.34233,0.00108938,0.00108938,0.00108938
16,184.199,1.21807,0.79991,1.20933,0.8735,0.89571,0.94121,0.56615,1.36732,0.81728,1.36089,0.00104813,0.00104813,0.00104813
17,195.052,1.22205,0.77419,1.20508,0.84861,0.88957,0.9371,0.55153,1.42694,0.7845,1.37878,0.00100687,0.00100687,0.00100687
18,205.908,1.19895,0.77026,1.18768,0.89316,0.92315,0.95589,0.59635,1.3641,0.65684,1.33759,0.00096561,0.00096561,0.00096561
19,217.35,1.21122,0.76601,1.19407,0.87598,0.87117,0.93156,0.56477,1.38487,0.99211,1.36527,0.000924352,0.000924352,0.000924352
20,228.433,1.13839,0.75663,1.16671,0.84581,0.88957,0.90451,0.54575,1.37565,0.75116,1.36803,0.000883093,0.000883093,0.000883093
21,239.839,1.20825,0.79683,1.19009,0.92162,0.92025,0.96704,0.60712,1.32407,0.58625,1.33327,0.000841835,0.000841835,0.000841835
22,251.206,1.19982,0.75579,1.1878,0.92254,0.87117,0.94825,0.58194,1.30507,0.63753,1.32005,0.000800577,0.000800577,0.000800577
