epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0982,1.43445,2.02622,1.43186,0.5044,0.78528,0.5263,0.3065,1.43589,2.03688,1.51703,0.00046676,0.00046676,0.00046676
2,28.4271,1.4033,1.30234,1.32032,0.35255,0.47239,0.30041,0.13456,1.68215,3.55943,1.96505,0.000931376,0.000931376,0.000931376
3,40.61,1.39831,1.18167,1.30884,0.42562,0.38037,0.27509,0.11548,2.12804,3.58977,2.06456,0.00137685,0.00137685,0.00137685
4,53.1889,1.40298,1.11988,1.31115,0.00417,0.17791,0.00244,0.00093,3.11957,58.0073,3.07503,0.00156798,0.00156798,0.00156798
5,65.4276,1.40147,1.1517,1.32008,0.4719,0.3681,0.33616,0.16596,2.16553,2.1615,2.0062,0.00153497,0.00153497,0.00153497
6,76.7972,1.3751,1.03997,1.3018,0.8169,0.82115,0.88172,0.50753,1.42392,1.21039,1.48639,0.00150197,0.00150197,0.00150197
7,88.4692,1.33218,0.99326,1.2918,0.843,0.79058,0.86628,0.50175,1.38147,1.12756,1.43025,0.00146896,0.00146896,0.00146896
8,100.508,1.33314,0.97195,1.27208,0.73324,0.74198,0.73589,0.39427,1.50565,1.90668,1.50035,0.00143595,0.00143595,0.00143595
9,112.667,1.2901,0.93689,1.25863,0.65264,0.80982,0.744,0.38071,1.60925,4.02066,1.54964,0.00140295,0.00140295,0.00140295
10,125.022,1.26038,0.95691,1.25095,0.66912,0.79755,0.79086,0.44889,1.5174,1.36837,1.44779,0.00136994,0.00136994,0.00136994
11,136.884,1.26625,0.92081,1.22588,0.81846,0.8589,0.89834,0.53336,1.38841,0.87966,1.34507,0.00133693,0.00133693,0.00133693
12,149.356,1.29577,0.91614,1.24182,0.86708,0.88957,0.91538,0.54421,1.37256,0.75516,1.36603,0.00130393,0.00130393,0.00130393
13,161.393,1.26854,0.8686,1.23109,0.90189,0.93252,0.9554,0.58295,1.32783,0.99348,1.35271,0.00127092,0.00127092,0.00127092
14,173.542,1.2482,0.82714,1.22983,0.88991,0.87117,0.96233,0.60702,1.33105,0.97487,1.3362,0.00123791,0.00123791,0.00123791
15,185.671,1.24234,0.82925,1.21264,0.908,0.8589,0.92974,0.57714,1.35595,0.72905,1.38062,0.00120491,0.00120491,0.00120491
16,197.729,1.22384,0.83565,1.21771,0.86855,0.85276,0.92975,0.55136,1.39682,0.73462,1.3928,0.0011719,0.0011719,0.0011719
17,209.239,1.23664,0.80326,1.21252,0.89841,0.86807,0.94054,0.54932,1.40169,0.77428,1.34995,0.00113889,0.00113889,0.00113889
18,221.073,1.22812,0.81452,1.20255,0.89436,0.88301,0.94478,0.57736,1.37052,0.77954,1.37032,0.00110589,0.00110589,0.00110589
19,232.968,1.23796,0.80459,1.20899,0.88907,0.94479,0.95905,0.57669,1.35978,0.88393,1.35143,0.00107288,0.00107288,0.00107288
20,245.074,1.17244,0.79407,1.18245,0.80591,0.86611,0.89183,0.52307,1.39688,0.93241,1.36866,0.00103987,0.00103987,0.00103987
21,257.227,1.23314,0.82099,1.20321,0.90614,0.95706,0.97465,0.6308,1.26981,0.56287,1.28601,0.00100687,0.00100687,0.00100687
22,269.152,1.21658,0.77356,1.19655,0.89164,0.90865,0.95603,0.61977,1.26517,0.63515,1.26823,0.000973861,0.000973861,0.000973861
23,281.121,1.17389,0.72945,1.19439,0.9201,0.91838,0.96448,0.59874,1.33793,0.6421,1.33723,0.000940855,0.000940855,0.000940855
24,292.913,1.12424,0.71536,1.16165,0.85287,0.92025,0.93032,0.5809,1.31081,0.66635,1.30851,0.000907848,0.000907848,0.000907848
25,304.73,1.14212,0.69184,1.14054,0.88857,0.90184,0.95693,0.6151,1.26643,0.61707,1.30516,0.000874842,0.000874842,0.000874842
26,316.204,1.13991,0.70816,1.15245,0.89528,0.94479,0.96614,0.61257,1.3099,0.61503,1.30592,0.000841835,0.000841835,0.000841835
27,327.341,1.13812,0.69791,1.16154,0.9006,0.92638,0.96014,0.59699,1.31921,0.78227,1.30414,0.000808828,0.000808828,0.000808828
28,339.256,1.12829,0.76924,1.157,0.898,0.86415,0.90919,0.54153,1.38896,0.69869,1.36616,0.000775822,0.000775822,0.000775822
29,351.033,1.10848,0.69491,1.14904,0.88888,0.93241,0.96266,0.60855,1.31048,0.69219,1.2956,0.000742815,0.000742815,0.000742815
30,362.859,1.12164,0.6722,1.157,0.90445,0.92913,0.96389,0.63103,1.24824,0.58262,1.27911,0.000709809,0.000709809,0.000709809
31,374.867,1.10533,0.66131,1.12659,0.87649,0.91426,0.95097,0.59669,1.33244,0.70265,1.34998,0.000676802,0.000676802,0.000676802
32,386.811,1.10407,0.66193,1.14722,0.91651,0.9428,0.97221,0.60841,1.30154,0.61844,1.32213,0.000643795,0.000643795,0.000643795
33,398.709,1.07136,0.67645,1.13044,0.89387,0.93013,0.95933,0.60267,1.29727,0.60331,1.3108,0.000610789,0.000610789,0.000610789
