epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.519,1.41378,1.33412,1.29511,0.60486,0.54937,0.56357,0.30229,1.50417,1.58545,1.43074,0.000665289,0.000665289,0.000665289
2,345.512,1.41437,1.23202,1.30479,0.63429,0.54948,0.5862,0.33232,1.43357,1.25712,1.38108,0.00126602,0.00126602,0.00126602
3,515.124,1.37974,1.18679,1.28181,0.65578,0.58715,0.62182,0.35798,1.41868,1.22404,1.36159,0.00180076,0.00180076,0.00180076
4,684.23,1.32518,1.1299,1.25666,0.68106,0.58722,0.63913,0.38551,1.32933,1.17594,1.32086,0.001703,0.001703,0.001703
5,852.985,1.30296,1.08979,1.2392,0.67635,0.6413,0.67485,0.41722,1.25445,1.10171,1.26404,0.001604,0.001604,0.001604
6,1021.72,1.26628,1.04948,1.21668,0.67942,0.64009,0.68192,0.42434,1.23613,1.09028,1.24461,0.001505,0.001505,0.001505
7,1190.65,1.24158,1.03172,1.20976,0.7121,0.63355,0.69297,0.43618,1.22411,1.02351,1.24284,0.001406,0.001406,0.001406
8,1359.36,1.22485,1.0026,1.19355,0.71707,0.64383,0.69453,0.43653,1.23205,1.02972,1.23316,0.001307,0.001307,0.001307
9,1527.74,1.21037,0.98025,1.18615,0.72874,0.66353,0.72171,0.45852,1.1832,0.95894,1.21041,0.001208,0.001208,0.001208
10,1696.25,1.19021,0.959,1.17444,0.73165,0.66255,0.71464,0.45977,1.17235,0.98401,1.19758,0.001109,0.001109,0.001109
11,1863.78,1.19511,0.99376,1.19675,0.73186,0.65864,0.72372,0.46491,1.17751,0.97239,1.21397,0.00101,0.00101,0.00101
12,2030.76,1.18339,0.96531,1.19246,0.74481,0.64484,0.71821,0.4637,1.17077,0.95694,1.21094,0.000911,0.000911,0.000911
13,2197.29,1.16754,0.95164,1.18428,0.74839,0.66716,0.7334,0.47572,1.14974,0.93093,1.19406,0.000812,0.000812,0.000812
14,2364.07,1.14946,0.92693,1.17693,0.75201,0.66228,0.73814,0.47877,1.15591,0.9204,1.1978,0.000713,0.000713,0.000713
15,2531.17,1.13749,0.91006,1.16572,0.74562,0.67773,0.7433,0.48527,1.14393,0.9165,1.17795,0.000614,0.000614,0.000614
16,2697.73,1.11908,0.8872,1.15783,0.75588,0.68205,0.75016,0.49332,1.12942,0.88586,1.1805,0.000515,0.000515,0.000515
17,2864.55,1.10495,0.8735,1.15057,0.75424,0.68173,0.7525,0.49552,1.12239,0.8778,1.18184,0.000416,0.000416,0.000416
18,3031.13,1.09314,0.85289,1.14016,0.75926,0.68733,0.75847,0.50498,1.10536,0.86432,1.16537,0.000317,0.000317,0.000317
19,3197.69,1.07528,0.82711,1.1303,0.76104,0.68723,0.76011,0.5077,1.10036,0.85787,1.15713,0.000218,0.000218,0.000218
20,3364.42,1.05683,0.81081,1.1202,0.7648,0.69174,0.7636,0.5108,1.09267,0.84786,1.16218,0.000119,0.000119,0.000119
