epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9155,2.40121,7.04935,3.48183,1.9,0.48525,0.49951,0.49019,0.23183,0.02103,0.02244,0.00431,0.00082,1.81023,5.53411,5.54858,1.6504,0.00012,0.00012,0.00012
2,23.4791,1.70107,4.59984,1.4743,1.42297,0.67055,0.72976,0.73951,0.39268,0.05554,0.05951,0.00895,0.00142,1.60933,8.33203,3.02694,1.43126,0.00024713,0.00024713,0.00024713
3,35.5706,1.46523,3.88088,0.91484,1.22977,0.80617,0.75317,0.78118,0.42111,0.29404,0.26634,0.12829,0.02059,1.64523,5.4914,2.00066,1.46001,0.0003604,0.0003604,0.0003604
4,44.1765,1.41458,3.63821,0.86171,1.20054,0.84205,0.79415,0.82337,0.45719,0.37241,0.35122,0.19493,0.03227,1.55712,4.54109,1.78685,1.3781,0.00045981,0.00045981,0.00045981
5,55.5755,1.42015,3.59469,0.77655,1.17345,0.80182,0.74998,0.79665,0.44711,0.42004,0.36195,0.24739,0.04719,1.59721,4.82998,1.76906,1.40347,0.00054536,0.00054536,0.00054536
6,64.6373,1.43139,3.6565,0.79111,1.18429,0.8388,0.76149,0.81658,0.46591,0.3906,0.34393,0.20661,0.03347,1.52436,4.5238,1.53333,1.3277,0.00061705,0.00061705,0.00061705
7,76.1517,1.42202,3.54555,0.75608,1.18028,0.88718,0.79024,0.83861,0.46778,0.47753,0.42146,0.27485,0.04952,1.52996,4.14015,1.19433,1.33155,0.00067488,0.00067488,0.00067488
8,84.5821,1.434,3.50519,0.82263,1.21714,0.90027,0.77501,0.83333,0.47771,0.27527,0.23707,0.1175,0.01736,1.52715,4.87787,0.92574,1.35431,0.00071885,0.00071885,0.00071885
9,94.5416,1.38783,3.43083,0.74814,1.18025,0.89166,0.76098,0.82936,0.46539,0.26658,0.21463,0.09918,0.01567,1.55237,5.84738,0.90765,1.33328,0.00074896,0.00074896,0.00074896
10,105.625,1.36815,3.43204,0.72562,1.14068,0.91822,0.75024,0.82556,0.4886,0.48214,0.39122,0.25435,0.04774,1.50337,4.44343,0.91608,1.3568,0.00076521,0.00076521,0.00076521
11,120.441,1.36524,3.41884,0.77995,1.19091,0.88215,0.73757,0.81546,0.46873,0.45722,0.37659,0.2247,0.04189,1.52266,4.32959,0.87166,1.37642,0.0007676,0.0007676,0.0007676
12,125.86,1.31329,3.41457,0.73553,1.15406,0.52466,0.73226,0.48188,0.28092,0.30622,0.40392,0.16499,0.03045,1.45933,3.99003,1.47282,1.31593,0.00075613,0.00075613,0.00075613
13,132.349,1.38627,3.54048,0.90503,1.25344,0.37179,0.74049,0.33595,0.19423,0.19555,0.38634,0.10143,0.01953,1.44404,4.06391,2.0123,1.26536,0.0007308,0.0007308,0.0007308
14,138.252,1.33383,3.29393,0.73797,1.14098,0.3137,0.75317,0.28182,0.15802,0.14019,0.34732,0.06919,0.01247,1.49203,4.64494,2.33706,1.28449,0.00069161,0.00069161,0.00069161
15,144.509,1.29103,3.30295,0.67823,1.13119,0.92807,0.78732,0.86302,0.51176,0.48969,0.41754,0.25554,0.04476,1.43761,4.47796,0.82227,1.24811,0.000614,0.000614,0.000614
16,150.402,1.29976,3.28479,0.8087,1.15883,0.93117,0.80506,0.87466,0.51755,0.50342,0.42826,0.27571,0.04869,1.44607,4.21127,0.76582,1.23994,0.000515,0.000515,0.000515
17,155.967,1.29679,3.25834,0.68495,1.12062,0.92624,0.80585,0.87121,0.51855,0.58212,0.49854,0.36459,0.0696,1.43901,3.77334,0.75501,1.22673,0.000416,0.000416,0.000416
18,162.584,1.24773,3.15633,0.63444,1.11533,0.92762,0.79707,0.87596,0.52755,0.58951,0.5128,0.37623,0.07377,1.41097,3.73311,0.71481,1.20752,0.000317,0.000317,0.000317
19,168.037,1.21876,3.13793,0.59978,1.08827,0.93115,0.82049,0.88453,0.53297,0.55894,0.49073,0.3345,0.06236,1.41633,3.88065,0.67993,1.21079,0.000218,0.000218,0.000218
20,174.477,1.22566,3.17767,0.60509,1.10048,0.93664,0.82212,0.88834,0.53869,0.58458,0.51317,0.36458,0.06899,1.41323,3.78012,0.65779,1.20515,0.000119,0.000119,0.000119
